alertid,description,zip,latitude,longitude,severity,type,created,userid,user_type
1,Robbery No Firearm,1206,14.554311,121.025392,warning,theft,,TETorres,authority
2,Thefts,1232,14.552654,121.027584,warning,theft,,EKMesas,normal
3,Fire Accident,1232,14.550951,121.027885,emergency,fire,,SCCustodio,authority
4,Thefts,1206,14.555022,121.024988,warning,theft,,RTMoreno,normal
5,Theft from Vehicle,1206,14.557244,121.021254,warning,theft,,KKRioja,system
6,Thefts,1206,14.555354,121.020525,warning,theft,,BKVicente,authority
7,Car Accident,1206,14.55741,121.024967,emergency,traffic,,MBNallos,normal
8,Aggravated Assault Firearm,1206,14.558262,121.019066,emergency,violence,,TRMoreno,normal
9,Burglary Residential,1206,14.556953,121.018122,warning,theft,,GDMadrigal,system
10,Raided Drug Dealers,1206,14.55984,121.015954,emergency,drug,,EJDomnguez,authority
11,Theft from Vehicle,1206,14.555465,121.020435,warning,theft,,DEMndez,authority
12,Fire Accident,1206,14.558103,121.017302,emergency,fire,,SACrdova,normal
13,Thefts,1232,14.552516,121.021637,warning,theft,,KJQuezada,authority
14,Car Accident,1232,14.552017,121.022366,warning,traffic,,DWZulueta,normal
15,Thefts,1206,14.556711,121.021744,emergency,theft,,TMMercadejas,normal
16,Theft from Vehicle,1206,14.558248,121.018869,emergency,theft,,NGLindo,authority
17,Murder,1551,14.559375,121.030449,emergency,violence,,VDNavidad,authority
18,Robbery No Firearm,1206,14.557381,121.013648,warning,theft,,ISMariano,system
19,Thefts,1206,14.552854,121.01236,warning,theft,,MCRecio,system
20,Drug User Caught,1232,14.548845,121.012318,warning,theft,,GGCastaeda,normal
21,Aggravated Assault No Firearm,1232,14.551949,121.014705,emergency,violence,,BJPelayo,authority
22,Car Accident,1206,14.55548,121.014254,emergency,traffic,,DAFandio,normal
23,Aggravated Assault No Firearm,1206,14.559073,121.015281,warning,violence,,DNGil,normal
24,Fire Accident,1206,14.562458,121.010968,emergency,fire,,CPDulce,normal
25,Motor Vehicle Theft,1206,14.557889,121.00732,warning,theft,,AMTorres,authority
26,Raided Drug Dealers,1206,14.554026,121.009144,warning,drug,,VDVillosillo,authority
27,Thefts,1206,14.556086,121.023475,warning,theft,,KCMiedes,authority
28,Aggravated Assault No Firearm,1232,14.551995,121.023388,warning,violence,,AGVillanueva,system
29,Motor Vehicle Theft,1206,14.557416,121.019741,emergency,theft,,SGCorporal,normal
30,Burglary Non-Residential,1206,14.555526,121.022544,warning,theft,,DJVeluz,normal
31,Raided Drug Dealers,1602,14.57338,121.093647,warning,theft,,FUPizarro,normal
32,Robbery Firearm,1602,14.566472,121.09546,warning,violence,,NMEllo,normal
33,Aggravated Assault Firearm,1602,14.56776,121.09538,emergency,violence,,SDBautista,system
34,Theft from Vehicle,1602,14.567199,121.092424,warning,theft,,FEVillosillo,authority
35,Thefts,1602,14.567682,121.088208,warning,theft,,WAGutirrez,normal
36,Attempted Murder,1602,14.564666,121.092184,warning,violence,,DLCordero,normal
37,Car Accident,1602,14.563773,121.0851,emergency,traffic,,SJDaz,normal
38,Raided Drug Dealers,1602,14.565698,121.083218,warning,theft,,LMTolosa,system
39,Burglary Residential,1602,14.566046,121.08141,warning,theft,,KENallos,normal
40,Murder,1600,14.566778,121.079447,emergency,violence,,PPMuoz,authority
41,Aggravated Assault No Firearm,1600,14.566111,121.074934,warning,violence,,VSCereza,system
42,Theft from Vehicle,1600,14.576396,121.072753,emergency,theft,,JWQuema,system
43,Thefts,1604,14.578259,121.073765,warning,theft,,EJCereza,authority
44,Caught Drug User,1604,14.579572,121.0752,warning,drug,,DRGalndez,authority
45,Motor Vehicle Theft,1604,14.580625,121.075181,warning,theft,,ACBelloso,normal
46,Aggravated Assault Firearm,1604,14.583036,121.075875,warning,violence,,EJSalinas,system
47,Car Accident,1604,14.583523,121.076125,emergency,traffic,,EDLorenzo,authority
48,Thefts,1604,14.582931,121.076796,warning,theft,,KTBalandra,normal
49,Drug User Caught,1604,14.584777,121.078033,warning,drug,,GESubejano,normal
50,Murder,1604,14.587338,121.079943,emergency,violence,,TDBustamante,normal
51,Burglary Non-Residential,1232,14.546553,121.007627,warning,theft,,ESBelloso,normal
52,Thefts,1206,14.556107,121.009043,warning,theft,,KSAraneta,normal
53,Fire Accident,1206,14.567557,121.014689,emergency,fire,,VCDueas,authority
54,Theft from Vehicle,1214,14.553768,121.044216,warning,theft,,JBBuenpacfico,authority
55,Thefts,1214,14.547412,121.037349,warning,theft,,WCArcilla,system
56,Theft from Vehicle,1232,14.540974,121.029861,warning,theft,,EKVillamor,system
57,Drug User Caught,1201,14.539333,121.034667,warning,drug,,BHArce,normal
58,Theft from Vehicle,1201,14.543175,121.037392,warning,theft,,NBOsorio,system
59,Thefts,1214,14.547631,121.03707,warning,theft,,RFBustamante,authority
60,Raided Drug Dealers,1232,14.544442,121.03279,warning,drug,,LGrdenes,system
61,Robbery Firearm,1232,14.543819,121.025344,emergency,violence,,DEAlczar,normal
62,Motor Vehicle Theft,1232,14.545377,121.021288,emergency,theft,,CABuenpacfico,system
63,Raided Drug Dealers,1214,14.557578,121.034123,warning,drug,,HRFernndez,system
64,Car Accident,1214,14.567672,121.038093,emergency,traffic,,STCarrasco,normal
65,Raided Drug Dealers,1552,14.575169,121.041955,warning,drug,,AMEscalante,normal
